English,Hyphenation,Pronunciation (British),Français,Césure,Español,Silabación 
Coniacian,Co-ni-a-cian,,Coniacien,Co-nia-cien,Coniaciense,Co-nia-cien-se
Cretaceous,Cre-ta-ceous,krɪˈteɪ.ʃəs,Crétacé,Cré-ta-cé,Cretácico,Cre-tá-ci-co
Cryogenian,Cry-o-ge-ni-an,,Cryogénien,Cryo-gé-nien,Criogénico,Crio-gé-ni-co
Danian,Da-ni-an,,Danien,Da-nien,Daniense,Da-nien-se
Dapingian,Dapin-gi-an,,Dapingien,Da-pin-gien,Dapingiense,Da-pin-gien-se
Darriwilian,Dar-ri-wil-ian,,Darriwilien,Dar-ri-wi-lien,Darriwiliense,Da-rri-wi-lien-se
Devonian,De-vo-ni-an,dɪˈvoʊniən,Dévonien,Dé-vo-nien,Devónico,De-vó-ni-co
Drumian,Dru-mi-an,,Drumien,Dru-mien,Drumiense,Dru-mien-se
Ectasian,Ec-ta-si-an,,Ectasien,Ec-ta-sien,Ectásico,Ec-tá-si-co
Ediacaran,E-di-a-ca-ran,,Édiacarien,É-dia-ca-rien,Ediacárico,E-dia-cá-ri-co
Eifelian,Eife-lian,,Eifélien,Ei-fé-lien,Eifeliense,Ei-fe-lien-se
Emsian,Em-sian,,Emsien,Em-sien,Emsiense,Em-sien-se
Eoarchean,E-o-ar-che-an,,Éoarchéen,Éo-ar-chéen,Eoarcaico,E-o-ar-cai-co
Eocene,E-o-cene,ˈiəˌsin,Éocène,Éo-cè-ne,Eoceno,E-o-ce-no
Famennian,Fa-men-ni-an,,Famennien,Fa-men-nien,Fameniense,Fa-me-nien-se
Floian,Flo-i-an,,Floien,Floien,Floiense,Floien-se
Fortunian,For-tu-ni-an,,Fortunien,Fo-rtu-nien,Fortuniense,For-tu-nien-se
Frasnian,Frasn-i-an,,Frasnien,Fras-nien,Frasniense,Fras-nien-se
Furongian,Fu-ron-gi-an,,Furongien,Fu-ron-gien,Furongiense,Fu-ron-gien-se
Gelasian,Ge-la-si-an,,Gélasien,Gé-la-sien,Gelasiense,Ge-la-sien-se
